nom,adresse,representant,telephone,email,site
MG CLUB DE FRANCE - Section Bretagne,35400 Saint-Malo,,06 03 62 01 63,philippe.noel@mgclubdefrance.com,https://mgclubdefrance.com
LOCAL 41,41100 Villiers-sur-Loir,,06 25 82 50 46,lelocal41@yahoo.fr,https://www.facebook.com/p/Local-41-100066997998203
VOLANTS ET GUIDONS D'AUTREFOIS,34400 Saint-Sériès,,06 81 72 66 17,contact@volants-guidons-dautrefois.fr,https://www.volants-guidons-dautrefois.fr
ASSOCIATION AUTOMOBILES CHAUMONTEL VAL ET O,95270 Chaumontel,,06 86 27 25 56,aacval.et.o@gmail.com,https://www.facebook.com/groups/2925890867549047
CHATU AUTO RÉTRO,26300 Chatuzange-le-Goubet,,06 81 02 30 04,chatuautoretro@outlook.com,https://www.facebook.com/profile.php?id=61574005370774
GASCOGNE TOUR AUTOS & MOTOS,33430 Bazas,,06 17 62 07 33,gascognetourautosetmotos@gmail.com,https://gtam-bazas.jimdosite.com
ASSOCIATION DE VÉHICULES ANCIENS DE PISSY-PÔVILLE,76360 Pissy-Pôville,,06 50 30 99 80,asso.avapp@gmail.com,
ASSOCIATION LA BELLE HISTOIRE AUTOMOBILE,07100 Annonay,,06 71 03 86 01,contact.albha@gmail.com,https://www.instagram.com/albha_fr?igsh=OXBzMmF4eWU5OHhm
ASSOCIATION DE DÉFENSE DU DROIT DE CIRCULER EN VÉHICULES ANCIENS,62218 Loison-sous-Lens,,06 19 20 03 75,jmdj.1973@laposte.net,https://www.facebook.com/citrosimcopel.jeanmarie
LES BELLES RÉTROS D'HOMBLIÈRES,02720 Homblières,,07 71 89 31 30,dominiquemismaque@yahoo.fr,
LES ANCIENNES CALANDRES,43240 Saint-Just-Malmont,,07 45 19 41 61,anciennescalandres@gmail.com,
TRIUMPH CLUB D'ALSACE,67620 Soufflenheim,,07 70 94 22 00,jclaude.vitzikam@gmail.com,http://www.triumph-club-alsace.com
LA CARETTE A PÉPÉ,80120 Villers-sur-Authie,,07 77 36 54 17,phil.malezka@gmail.com,https://www.facebook.com/groups/645386450975910
AMICALE DES ANCIENNES AUTOS ET MOTOS DES DEUX-SÈVRES,79370 Celles-sur-Belle,,06 65 27 52 84,massiasguerin@orange.fr,
CLUB HEALEY FRANCE,75016 Paris,,,contact@club-healey.com,https://www.club-healey.com
LES CHROMES ARIEGEOIS,09500 Mirepoix,,06 62 18 22 64,chromes.ariegeois@yahoo.com,
CAVASA,12150 Sévérac-d,,06 76 44 46 83,renemolinie@orange.fr,
CLUB FORMULE 1,79700 Mauléon,,06 85 31 04 43,hcaille99@gmail.com,
ASSOCIATION ANGLOISE DE VÉHICULES D'ÉPOQUE,85750 Angles,,07 67 17 98 80,,
CONSERVATOIRE VIVANT DES ARTS MÉCANIQUES,87200 Saint-Junien,,05 55 02 62 23,marie-christine.boulesteix@orange.fr,https://www.facebook.com/cvamstjunien
LA RÉTRO GABAYE,33920 Générac,,06 84 75 89 17,lrg.legabaye@gmail.com,https://www.facebook.com/LaRetroGabaye
LES FÉLÉS DE LA COURROIE,49450 Beaupréau-en-Mauges,,02 41 30 81 46,fdlc49.info@gmail.com,
LA RÉTR'AUTOMOBILE FORT-MAHONNAISE,80120 Fort-Mahon-Plage,,06 77 90 83 74,talisman5980@gmail.com,https://www.facebook.com/groups/937466519604121
AUTO MOTO TRACTEUR,36160 Sainte-Sévère-sur-Indre,,06 40 40 09 65,yves.clastot@wanadoo.fr,https://www.facebook.com/p/Auto-Moto-Tracteur-100091323717642
AUTOMOBILE CLUB DU VAL D'AY,07520 Lalouvesc,,06 81 42 59 80,acva07520@gmail.com,
LE PETIT ANJOU COPIER/COLLER,44430 Le,,06 83 88 01 38,train.petit-anjou@orange.fr,https://lepetitanjoucopiercoller
AMICALE RÉTRO CANT'AVEY,12130 Pierrefiche,,,amicaleretrocantavey@gmail.com,
MOTO CLUB MONET-GOYON KOEHLER-ESCOFFIER,15290 Le,,,club@monet-goyon.com,https://www.monet-goyon.com/phpBB3/
RETRO ORGANISATION,40200 Pontenx-les-Forges,,06 04 67 66 70,retroorganisation40200@gmail.com,
LES FOUS DU VOLANT 73,73460 Grésy-sur-Isère,,06 21 20 14 42,metge.christophe@wanadoo.fr,https://www.facebook.com/groups/lesfousduvolant73
JOINVILLE AUTO CLASSIC,94340 Joinville-le-Pont,,06 12 24 86 49,joinvilleautoclassic@gmail.com,
LES BELLES MÉCANIQUES CHANASIENNES,38150 Chanas,,06 28 74 78 40,info@bellesmecaniques.com,https://bellesmecaniques.com
LES CHEVRONS VENDÉENS,85600 Treize-Septiers,,07 69 07 24 08,leschevronsvendeens@outlook.com,https://www.facebook.com/profile.php?id=61569881197241
CHÂTEL RÉTROMOBILE,63140 Châtel-Guyon,,06 07 64 45 32,chatelretromobile@gmail.com,http://www.chatel-retromobile.fr
R5 TURBO PASSION,13680 Lançon-Provence,,06 13 24 80 97,j.berthier@laposte.net,https://www.facebook.com/groups/462413349999792
STF CONCEPT,30410 Molières-sur-Cèze,,06 62 93 24 08,stfconcept@gmail.com,https://www.facebook.com/profile.php?id=100069863769725
RÉTRO AUTO MOTO MONTVILLE,76710 Montville,,06 40 76 78 44,antoine.tailleur@free.fr,http://ram.montville.free.fr
MOTORS ADDICT LEMAN,74160 Archamps,,06 77 30 77 33,motorsaddictleman@gmail.com,http://www.motorsaddictleman.com
VOLANTS ET GUIDONS,85120 Terval,,06 84 18 49 13,volantsetguidons@hotmail.com,
CLUB AUTOMOBILISTE BERLIET,69003 Lyon,,06 07 88 32 95,phi.lambert@free.fr,http://www.fondationberliet.org
LES VIEUX BOULONS LABLACHÉROIS,07230 Lablachère,,06 98 69 03 77,lesvieuxboulonslablacherois@gmail.com,http://lesvieuxboulonslablacherois.com
MÉCANIQUES ANCIENNES DU HAUT LIGNON,43190 Le,,06 26 25 71 99,mecaniquesancienneshautlignon@gmail.com,http://https//www.mecaniquesancienneshautlignon.com
SOUVENIR ET COLLECTIONS MECANIQUES MELDOISES,77100 Meaux,,06 89 86 74 03,bernie.duret@gmail.com,
ALFA-TURISMO,34160 Boisseron,,04 66 51 43 05,alain.laganier@orange.fr,https://www.alfa-turismo.fr
CLUB AUTO RÉTRO,38110 Saint-Didier-de-la-Tour,,06 79 09 17 30,gb.services.bron@orange.fr,https://www.saintdidierdelatour.fr/club-auto-retro-2
VÉHICULES HISTORIQUES CLUB OYONNAXIEN 01,01100 Oyonnax,,06 08 42 41 65,vhco01@orange.fr,
MOTORS PRESTIGE,01500 Ambérieu-en-Bugey,,06 42 55 41 00,motorsprestige01@gmail.com,https://www.facebook.com/MotorsPrestige01
AMICALE DES PASSIONNÉS DES VÉHICULES ANCIENS,86000 Poitiers,,05 49 50 52 87,f.lestrade@apva86.org,http://www.apva86.org
RÉTRO MOBILE CLUB DROUAIS,28100 Dreux,,02 37 64 40 74,rmcdsecretariat@gmail.com,https://www.facebook.com/groups/584129883574198
LABÈGE CLASSIC,31670 Labège,,06 79 35 93 38,contact@labegeclassic.fr,https://www.facebook.com/groups/519037311166663/
COMITE D'ORGANISATION DES S DE TREFFORT,01370 Val-Revermont,,06 87 60 00 42,vazzolerph@gmail.com,https://sdetreffort.fr
LES RÉTROS DES MARAIS,17620 Saint-Agnant,,,lesretrosdesmarais@yahoo.com,https://www.facebook.com/p/Les-R%C3%A9tros-Des-Marais-61557168390364/
IMAGES VIDEOS PASSION,26220 Dieulefit,,06 19 93 84 87,gege.irgadian@hotmail.fr,https://www.facebook.com/groups/203599280305950
LES ANCIENNES D'ANCHIN,59146 Pecquencourt,,06 72 30 39 04,paciocco.gilles@wanadoo.fr,https://www.facebook.com/lucienne.danchin.9
AUTO RÉTRO PÉRIGORD EST,24120 Pazayac,,06 76 36 27 68,bouillon.jo@free.fr,http://www.autoretropazayac.canalblog.com
2 CV CLUB MONTOIS,40000 Mont-de-Marsan,,06 26 25 13 87,croac.montois@gmail.com,http://2cvmontois.wifeo.com
LES PASSIONNÉS DU CIRCUIT DE LA MARNE,51390 Gueux,,06 34 39 48 92,crgpl51390@gmail.com,https://www.facebook.com/lespassionnesducircuitdelamarne
TEUF TEUF CLUB MAGUELONE - T.T.C.M.,34750 Villeneuve-lès-Maguelone,,04 67 69 43 99,berenguerg3@gmail.com,https://www.facebook.com/TeufTeufClubMaguelone
LES RETROS DU VAL DE SAÔNE,69830 Saint-Georges-de-Reneins,,06 61 88 23 18,yves.bouvier372@orange.fr,https://www.facebook.com/p/Les-R%C3%A9tros-du-Val-de-Sa%C3%B4ne-100091565546179/
LES MOBEURS DU COMMINGES,31510 Cier-de-Rivière,,06 31 80 33 35,mickael.du31@hotmail.com,https://www.facebook.com/groups/154510649865205
PASSIONNÉS DE VÉHICULES ANCIENS,25770 Franois,,06 07 78 39 06,clubpva25@gmail.com,https://www.clubpva.com
LE RENDEZ-VOUS DE LA REINE,78730 Ponthévrard,,06 28 93 29 74,rdv.reine@gmail.com,https://lerendezvousdelareine.fr
WORLD WAR 44,59492 Hoymille,,07 71 11 67 71,carhvm.ww44@gmail.com,https://www.facebook.com/p/CAR-HVM-61552900392952
MOTO RÉTRO FAMENNE ARDENNES,,,04 95 58 51 78,rolandgeorges@skynet.be,https://mrfa.be
MOB KOZH 29,29780 Plouhinec,,,mobkozh29@gmail.com,https://www.facebook.com/groups/1174279763480073
PASSÉ O MOBILE,77140 Nemours,,06 80 71 76 26,passeomobile@orange.fr,https://www.facebook.com/passeomobile77
FLOAUTOPASSION,49230 Sèvremoine,,06 99 15 74 50,poiron-flo@bbox.fr,https://www.helloasso.com/associations/floautpassion
SAM CAR CLUB,60153 Rethondes,,06 09 08 46 95,patrick.sam.car.club@gmail.com,https://www.facebook.com/profile.php?id=100090937496181
LES SIXTIES D'AUBIGNAN,84200 Carpentras,,06 20 22 11 67,lessixtiesdaubignan@gmail.com,https://www.facebook.com/p/Les-Sixties-dAubignan-100075564056428
AUTOMOBILECLUBDUSUD,34150 Gignac,,06 25 14 39 41,automobileclubdusud@gmail.com,
ASSOCIATION MESNIL MÉCANIC,76240 Le,,06 03 06 82 70,mesnilmecanic76240@gmail.com,https://www.facebook.com/p/Mesnil-M%C3%A9canic-61556710934832/
ON THE ROAD AGAIN,95390 Saint-Prix,,06 84 98 24 17,clubontheroadagain@gmail.com,https://ontheroadagain.fr
ANNAY RÉTRO,58450 Neuvy-sur-Loire,,06 70 70 17 98,lesannayretro@gmail.com,https://www.facebook.com/lesannayretro
LES BIELLES D'ALBRET,47600 Nérac,,,biellesdalbret@free.fr,http://www.biellesdalbret.free.fr
LES GRAVELEUSES,33850 Léognan,,,bureau@graveleuses.net,https://www.facebook.com/groups/268811837157268
LES VIEUX CARBUS MANDUBIENS,25350 Mandeure,,03 81 35 22 58,laurent.grandgirard25@orange.fr,https://lesvieuxcarbusmandubiens.e-monsite.com
COLLECTO' MOBILE,27400 Incarville,,06 65 59 87 76,do.collecto@gmail.com,https://www.facebook.com/collectomobile
VÉHICULES ANCIENS DE LECTOURE ET GASCOGNE,32700 Lectoure,,06 16 23 88 35,valglectoure@gmail.com,https://www.facebook.com/groups/425703506773168
AUTO RÉTRO PASSION,84830 Sérignan-du-Comtat,,06 89 31 96 54,patrick.dupeyre84@orange.fr,https://www.facebook.com/profile.php?id=61554296157576
LES VIEUX VOLANTS DE PROVENCE,13080 Aix-en-Provence,,06 03 02 46 43,p.vignapiano@orange.fr,https://vieux-volants-de-provence.e-monsite.com
ASSOCIATION AUTOMOBILES ANCIENNES DE LAMORLAYE,60260 Lamorlaye,,06 52 92 24 34,gillesAAAL@gmail.com,https://www.aaalamorlaye.com
"VÉHICULES ANCIENS DU LÉON, DE CORNOUAILLE ET DU TRÉGOR",29200 Brest,,06 81 83 13 32,riouluc@orange.fr,https://www.facebook.com/VALCT29
ASSOCIATION DES VÉHICULES D'EPOQUE DU PAYS DE GEX,01170 Gex,,06 09 42 67 46,henryclaude.ruh@gmail.com,https://www.facebook.com/AVEPaysdeGex
SIERRA CLUB DE FRANCE,17800 Pons,,06 75 73 77 21,capri17@club.fr,https://www.facebook.com/groups/sierraclubdefrance/
LES CALANDRES DU MONASTÈRE,12000 Le,,06 08 28 71 12,lescalandresdumonas@gmail.com,https://www.facebook.com/groups/1161722121306038/
CLUB01,57420 Cheminot,,03 87 64 91 16,leclub01@gmail.com,https://www.club01.eu
ANCIENNES VOITURES DE L'AVRANCHIN,50400 Anctoville-sur-Boscq,,07 78 10 80 36,jeanpaul.tesniere@gmail.com,https://www.anciennes-voitures-avranchin.com
VESPA CLUB DE FÉCAMP,76790 Les,,02 35 29 47 51,polo19576@gmail.com,https://www.facebook.com/VespaClubdeFecamp
RETRO PASSION SÉGALA,12240 Rieupeyroux,,06 79 41 92 07,stephanemaurel@sfr.fr,
CLUB MOTOCYCLISTE DE NEUVILLE,86170 Neuville-de-Poitou,,06 41 67 16 00,motoveloretro@sfr.fr,
CLUB DS/ID CÔTE BASQUE,64990 Lahonce,,06 98 71 74 00,clubdsid-cotebasque@laposte.net,https://www.facebook.com/profile.php?id=100092489900222
AUTOMOBILES ANCIENNES DE L'AGENAIS,47240 Castelculier,,07 86 29 28 26,aaa47@orange.fr,
CLUB PEUGEOT 306,93320 Les,,,president@club306.fr,https://www.club306.fr
AMICALE DES VÉHICULES ANCIENS DE CHABEUIL,26120 Chabeuil,,06 89 95 22 14,fabrice.bouchet@syngenta.com,https://www.facebook.com/profile.php?id=100067748550290
GOLD OLD CARS,"09922
jacodel",,0324974099,jacodel@skynet.be,https://www.facebook.com/groups/308664983124861
AMICALE DES MÉCANIQUES ANCIENNES DU CHATILLONAIS,21400 Châtillon-sur-Seine,,06 08 97 52 93,jm.marechal@wanadoo.fr,https://www.club-amac.fr
CITRO-ËN-CAUX,76210 Beuzeville-la-Grenier,,06 60 88 7163,citroencaux@gmail.com,https://www.facebook.com/profile.php?id=61553225442462
CANAL PASSION AUTOS MOTOS,44460 Saint-Nicolas-de-Redon,,06 88 01 92 08,club.canalpassion@gmail.com,https://www.facebook.com/profile.php?id=61559824956715
SOL'EX ROLL,69420 Les,,06 16 32 62 66,contact.clubsolexroll@gmail.com,https://www.facebook.com/SOLEXROLL
LES VIEUX VOLANTS DE LA SUMENE,15400 Menet,,06 03 08 69 18,altier.colette@orange.fr,
PASSION AUTO RÉTRO SERVIAN,34290 Servian,,06 76 10 20 08,builalain@orange.fr,
AUTOMOBILE BRETAGNE SUD,56130 Marzan,,06 13 34 22 71,lg-esthetiqueauto@orange.fr,
LES HAUTES-ANTIQUES,69220 Belleville-en-Beaujolais,,,leshautesantiques0@gmail.com,
CLUB 911.NET,45200 Amilly,,06 07 70 39 77,grandouest@club911.net,https://www.facebook.com/groups/grandouest
ALPINE GORDINI CLUB VALLÉE DE LA BRUCHE,67420 Saales,,03 88 97 75 69,agcvb67@outlook.com,https://agcvb67.franceserv.com
RÉTRO MÉCA PASSION,03250 Châtel-Montagne,,06 62 41 19 45,retromecapassion@free.fr,https://www.retromecapassion.fr
LES VILEBREQUINS DU MORBIHAN,56620 Pont-Scorff,,06 64 29 08 51,lvdmo56@outlook.fr,https://www.youtube.com/channel/UCyB20XgCCIxX1bwjlGvOp6A
CLUB PANTHER FRANCE,68800 Vieux-Thann,,06 82 88 81 91,club.panther.france@gmail.com,https://club-panther-france.forumactif.com
CLUB PANTHER FRANCE,11220 Serviès-en-Val,,06 32 23 44 43,club.panther.france@gmail.com,https://club-panther-france.forumactif.com
CLUB PANTHER FRANCE,41100 Coulommiers-la-Tour,,06 25 55 34 75,club.panther.france@gmail.com,https://club-panther-france.forumactif.com
CLUB PANTHER FRANCE,33110 Le,,06 14 02 93 24,club.panther.france@gmail.com,https://club-panther-france.forumactif.com
RÉTRO CLUB DES FLANDRES,59470 Wormhout,,07 87 15 65 10,vandermarliere.joel@hotmail.com,https://www.facebook.com/p/Retro-club-des-Flandres-Pr%C3%A9sident-Joel-Vandermarliere-100082506925340
NOS BELLES POPULAIRES,59112 Annoeullin,,06 22 82 31 11,nosbellespopulaires@yahoo.com,https://www.facebook.com/nosbellespopulaires
LES RÉTROS MAULOISES,78580 Maule,,06 07 39 27 75,reinsport@free.fr,https://www.facebook.com/groups/1138892512898367/
MT CLASSIC CAR,26340 Saillans,,06 36 51 87 95,mt.classic.car07@gmail.com,https://www.facebook.com/profile.php?id=61558377531237
AUTO RÉTRO VIRY,74580 Viry,,06 09 59 18 49,autoretroviry@gmail.com,
AUTOMOBILE CLUB DE GRANVILLE,50320 Hocquigny,,06 44 87 13 36,philippe.rabbat@sfr.fr,https://automobileclubdegranville.over-blog.com/
CLUB MX-5 FRANCE,27210 Martainville,,06 88 35 64 55,patrick@mx5france.com,https://www.mx5france.com
ECURIE MECASPORT,57710 Tressange,,06 76 70 75 01,ecurie.mecasport@orange.fr,https://mecasport.net
2 CV CLUB CENTRE ALSACE,67220 Dieffenbach-au-Val,,07 82 66 90 10,president@2cvcentrealsace.fr,https://2cvcentrealsace.fr
CA ROULE ENCORE,38540 Heyrieux,,06 30 16 80 43,carouleencore@gmail.com,
US - MUSIC & CARS,72460 Sillé-le-Philippe,,06 31 12 15 29,us.musicandcars@gmail.com,
CLUB D'AUTOS & MOTOS D'EPOQUE,91580 Villeconin,,06 85 10 03 96,willymalguy@gmail.com,https://lecame91.wixsite.com/came
LES BAYOUX,03600 Commentry,,06 87 67 46 81,lesbayoux@hotmail.fr,https://www.facebook.com/groups/LesBayoux
LES BELLES CAR-CASSES,79400 Azay-le-Brûlé,,06 72 71 51 26,bellescarcasses79@orange.fr,
2 CV CLUB FRANCILIEN,93290 Tremblay-en-France,,06 47 96 65 25,contact@2cvclubfrancilien.fr,https://2cvclubfrancilien.fr
CÉVENNES & CARS,30100 Alès,,06 46 05 40 69,cvnandcars@gmail.com,https://www.facebook.com/CevennesAndCars
AMÉRICAINES DU MAINE ET LOIRE,49124 Saint-Barthélemy-d,,,assoc.aml49@gmail.com,https://americainesml.wixsite.com/aml49
AMATEURS DE CITROËN ANCIENNES,59496 Hantay,,06 84 82 31 60,amateurs.citroen@free.fr,https://amateurscitroenanciennes.wordpress.com/
ANCIENS BOLIDES DU CENTRE,41300 Selles-Saint-Denis,,06 03 88 63 44,abc41.communication@gmail.com,
DIGNE AUTO CLASSIC CLUB JR,04000 Digne-les-Bains,,06 07 45 27 08,dacc.04.jr@gmail.com,https://daccjr.fr
LES BELLES ET LES BIELLES DU VERCORS,38470 Vinay,,06 14 93 53 04,bellesbiellesvercors@gmail.com,
RFLJ AUTOS CLUB,04190 Les,,06 80 99 65 09,rfljautos@gmail.com,https://www.facebook.com/rfljautoscollection
OCCITANIE CLASSIC AUTO MOTO,11560 Fleury,,06 72 92 15 10,annie.ocam11@gmail.com,https://www.facebook.com/groups/1808095705907641/
ARIZONA DREAMING,35390 Sainte-Anne-sur-Vilaine,,06 49 18 40 73,clubarizonadreaming@gmail.com,https://www.facebook.com/groups/283830433874525
TEAM LES OURS,74100 Annemasse,,06 14 04 26 97,team.les.ours@hotmail.com,https://www.facebook.com/Teamlesours
VÉHICULES D'EPOQUE BEIGNONNAIS,56380 Beignon,,06 98 48 73 57,veb.contact@gmail.com,
LES ANCIENNES CHAUMONTAISES,41600 Chaumont-sur-Tharonne,,0577338776,lac41600@gmail.com,https://www.facebook.com/groups/1057733877695734
ALFA CLUB DES VOLCANS,43000 Le,,07 86 42 19 67,alfaclubdesvolcans@gmail.com,https://alfaclubdesvolcans.fr
VESPA CLUB DE MARSEILLE PROVENCE,13011 Marseille,,06 75 23 32 49,vespaclubmarseille@gmail.com,https://www.facebook.com/VCMP13
LES VIEILLES ROUES DE LA SOURCE DU CHER,23420 Mérinchal,,06 31 51 46 96,associationlesvieillesroues@gmail.com,
RETRO PASSION 55,55210 Hannonville-sous-les-Côtes,,06 86 50 32 18,cdzphil@hotmail.fr,
LES TACOTS DU BEUVRON,50240 Saint-James,,07 71 02 85 41,desclosjacky3@gmail.com,http://tacotsdubeuvron.over-blog.fr
LES BELLES DU PORT DE DAHOUËT,22400 Saint-Alban,,06 86 15 31 06,lesbellesdedahouet@gmail.com,
CLUB DES AMATEURS DE VÉHICULES D'ÉPOQUE,82100 Castelsarrasin,,05 63 95 15 16,cave.82@free.fr,https://www.facebook.com/p/CAVE-82-100057386742774/
LES PÉTOCHONS PYRÉNÉENS,64190 Bugnein,,,lespetochonspyreneens@outlook.fr,
CLUB EXCALIBUR EUROPE,28260 Saussay,,06 05 03 56 20,club-excalibur-europe@hotmail.com,https://www.club-excalibur-europe.com
CORSICA AUTO PASSION,20167 Ajaccio,,06 72 93 73 06,corsicaautopassion@gmail.com,
CONSERVATOIRE DU MACHINISME AGRICOLE ET DES MÉTIERS D'AUTREFOIS,70100 Velesmes-Échevanne,,06 80 87 18 04,remyrougeol@gmail.com,https://www.conservatoiredumachinismeagricoledevelesmes.fr
LES VIEUX PISTONS TONNERROIS,10130 Bernon,,06 87 16 80 52,secretariat.lvpt@gmail.com,https://www.facebook.com/groups/lvpt89
EVENTS AUTO,13140 Miramas,,06 18 25 13 41,eventsauto.president@gmail.com,https://www.eventsauto.fr
GARAT AUTO PASSION,16410 Garat,,07 81 41 81 83,garatautopassion@outlook.fr,
CLUB AUTOS LA PRESQU'ILE,85460 L,,06 11 71 28 26,club.autoslapresquile@gmail.com,
CLUB PANTHER FRANCE,63430 Pont-du-Château,,06 81 48 80 30,club.panther.france@gmail.com,https://club-panther-france.forumactif.com
CLUB PANTHER FRANCE,59139 Wattiginies,,06 41 66 31 02,club.panther.france@gmail.com,https://club-panther-france.forumactif.com
