nom,adresse,telephone,email,representant,site,source,doublon_de,raison
MUSTANG CLUB DE FRANCE,37230 Fondettes - France,07 71 80 79 02,club@mustangclubdefrance.com,Pdt : Xavier Vrigny ; Trés. : Sylvie Choiseau ; Secrét. : Amélie Sandoz,http://www.mustangclubdefrance.com,lva-auto,MUSTANG CLUB DE FRANCE,email: club@mustangclubdefrance.com
PASSION YOUNGTIMERS 86,86530 Naintré - France,06 83 71 27 11,passionyoungtimers86@gmail.com,Pdt : Rudy Chabot ; Trés. : Stéphane Chabot ; Secrét. : Gabriel Baillargeart,http://www.facebook.com/passionyoungtimers86,lva-auto,A.V.E.M 86,tel: 0683712711
SM CLUB DE FRANCE,78500 Sartrouville - France,01 39 82 28 83,contact@smclubdefrance.org,Pdt : Thierry Delastre ; Vice-Pdts : Pierre Fraleux et Philippe Beugin ; Trés. : Benoît Chatelain ; Secrét. : Charles Paradis,http://www.smclubdefrance.org,lva-auto,FÉDÉRATION INTERNATIONALE DES CLUBS CITROËN SM,email: contact@smclubdefrance.org
SOUPAPES ET PISTONS BAYONNE,64100 Bayonne - France,06 45 09 21 60,contact@soupapesetpistons.fr,Pdt : Michel Marcelin ; Trés. : Pierre Aubert,http://www.soupapesetpistons.fr,lva-auto,SOUPAPES ET PISTONS,email: contact@soupapesetpistons.fr
TACOT CLUB CALAISIEN,62370 Audruicq - France,06 70 01 34 24,eric-edwige@orange.fr,Pdt : Ãric Bancquart ; Vice-Pdt : Yves Roussel ; Trés. : Edwige Raba ; Secrét. : Michel Truquet,http://www.tacotclubcalaisien.com,lva-auto,LES AMIS DE CHENARD ET WALCKER,email: eric-edwige@orange.fr
TRIUMPH CLUB DE FRANCE,24510 Val de Louyre et Caudeau - France,07 82 99 08 86,secretaire@triumph-club-de-france.fr,Pdt : Alain Dufour ; Vice-Pdts : Jean-François Soguel et Marc Dormal ; Trés. : Lucien Germani ; Secrét. : Gilles Vincent ; Secrét. adj. : Michel Piotte ; Contrôleur de gestion : Hervé Glemain,http://www.triumph-club-de-france.fr,lva-auto,TRIUMPH CLUB DE FRANCE,tel: 0782990886
TRICASTIN AUTO PASSION,26130 Saint-Paul-Trois-Châteaux,06 72 13 91 04,tricastinautopassion@gmail.com,,https://tricastin-auto-passion-1.s2.yapla.com/fr/,retrocalage,TRICASTIN AUTO PASSION,email: tricastinautopassion@gmail.com
AUTOMOBILE CLUB LIVRADOIS FOREZ,63220 Arlanc,06 77 02 72 85,aclfautomoto@hotmail.com,,,retrocalage,AUTOMOBILE CLUB LIVRADOIS FOREZ - ACLF,email: aclfautomoto@hotmail.com
CLUB AUTO MINIATURE,27540 Ivry-la-Bataille,06 75 06 12 82,cam.ivry@free.fr,,,retrocalage,CLUB AUTO MINIATURE,email: cam.ivry@free.fr
TRIUMPH CLUB D'ALSACE,67620 Soufflenheim,07 70 94 22 00,jclaude.vitzikam@gmail.com,,http://www.triumph-club-alsace.com,retrocalage,TRIUMPH CLUB D'ALSACE,email: jclaude.vitzikam@gmail.com
AMICALE DES ANCIENNES AUTOS ET MOTOS DES DEUX-SÈVRES,79370 Celles-sur-Belle,06 65 27 52 84,massiasguerin@orange.fr,,,retrocalage,AMICALE ANCIENNES AUTOS ET MOTOS DES DEUX-SÈVRES - 3AM79,tel: 0665275284
CONSERVATOIRE VIVANT DES ARTS MÉCANIQUES,87200 Saint-Junien,05 55 02 62 23,marie-christine.boulesteix@orange.fr,,https://www.facebook.com/cvamstjunien,retrocalage,CONSERVATOIRE VIVANT DES ARTS MÉCANIQUES,tel: 0555026223
LES BELLES MÉCANIQUES CHANASIENNES,38150 Chanas,06 28 74 78 40,info@bellesmecaniques.com,,https://bellesmecaniques.com,retrocalage,LES BELLES MÉCANIQUES CHANASIENNES,email: info@bellesmecaniques.com
CHÂTEL RÉTROMOBILE,63140 Châtel-Guyon,06 07 64 45 32,chatelretromobile@gmail.com,,http://www.chatel-retromobile.fr,retrocalage,CHTEL RETROMOBILE,email: chatelretromobile@gmail.com
MOTORS ADDICT LEMAN,74160 Archamps,06 77 30 77 33,motorsaddictleman@gmail.com,,http://www.motorsaddictleman.com,retrocalage,MOTORS ADDICT LEMAN,email: motorsaddictleman@gmail.com
MÉCANIQUES ANCIENNES DU HAUT LIGNON,43190 Le,06 26 25 71 99,mecaniquesancienneshautlignon@gmail.com,,http://https//www.mecaniquesancienneshautlignon.com,retrocalage,MÉCANIQUES ANCIENNES DU HAUT LIGNON,email: mecaniquesancienneshautlignon@gmail.com
VÉHICULES HISTORIQUES CLUB OYONNAXIEN 01,01100 Oyonnax,06 08 42 41 65,vhco01@orange.fr,,,retrocalage,VÉHICULES HISTORIQUES CLUB OYONNAXIEN 01,email: vhco01@orange.fr
RÉTRO MOBILE CLUB DROUAIS,28100 Dreux,02 37 64 40 74,rmcdsecretariat@gmail.com,,https://www.facebook.com/groups/584129883574198,retrocalage,RÉTRO-MOBILE-CLUB-DROUAIS,email: rmcdsecretariat@gmail.com
LABÈGE CLASSIC,31670 Labège,06 79 35 93 38,contact@labegeclassic.fr,,https://www.facebook.com/groups/519037311166663/,retrocalage,CLUB LABÈGE CLASSIC,email: contact@labegeclassic.fr
AUTO RÉTRO PÉRIGORD EST,24120 Pazayac,06 76 36 27 68,bouillon.jo@free.fr,,http://www.autoretropazayac.canalblog.com,retrocalage,AUTO RÉTRO PÉRIGORD EST - ARPE,email: bouillon.jo@free.fr
TEUF TEUF CLUB MAGUELONE - T.T.C.M.,34750 Villeneuve-lès-Maguelone,04 67 69 43 99,berenguerg3@gmail.com,,https://www.facebook.com/TeufTeufClubMaguelone,retrocalage,TEUF TEUF CLUB MAGUELONE - T.T.C.M,email: berenguerg3@gmail.com
PASSIONNÉS DE VÉHICULES ANCIENS,25770 Franois,06 07 78 39 06,clubpva25@gmail.com,,https://www.clubpva.com,retrocalage,PASSIONNÉS DE VÉHICULES ANCIENS - PVA,email: clubpva25@gmail.com
PASSÉ O MOBILE,77140 Nemours,06 80 71 76 26,passeomobile@orange.fr,,https://www.facebook.com/passeomobile77,retrocalage,PASSÉ O MOBILE,email: passeomobile@orange.fr
LES SIXTIES D'AUBIGNAN,84200 Carpentras,06 20 22 11 67,lessixtiesdaubignan@gmail.com,,https://www.facebook.com/p/Les-Sixties-dAubignan-100075564056428,retrocalage,LES SIXTIES D'AUBIGNAN,email: lessixtiesdaubignan@gmail.com
ON THE ROAD AGAIN,95390 Saint-Prix,06 84 98 24 17,clubontheroadagain@gmail.com,,https://ontheroadagain.fr,retrocalage,ON THE ROAD AGAIN,tel: 0684982417
ANNAY RÉTRO,58450 Neuvy-sur-Loire,06 70 70 17 98,lesannayretro@gmail.com,,https://www.facebook.com/lesannayretro,retrocalage,LES ANNAY RÉTRO,email: lesannayretro@gmail.com
LES BIELLES D'ALBRET,47600 Nérac,,biellesdalbret@free.fr,,http://www.biellesdalbret.free.fr,retrocalage,LES BIELLES D'ALBRET,email: biellesdalbret@free.fr
"VÉHICULES ANCIENS DU LÉON, DE CORNOUAILLE ET DU TRÉGOR",29200 Brest,06 81 83 13 32,riouluc@orange.fr,,https://www.facebook.com/VALCT29,retrocalage,VÉHICULES ANCIENS DU LÉON DE CORNOUAILLE ET DU TRÉGOR - VALCT,tel: 0681831332
CLUB01,57420 Cheminot,03 87 64 91 16,leclub01@gmail.com,,https://www.club01.eu,retrocalage,CLUB 01,email: leclub01@gmail.com
RETRO PASSION SÉGALA,12240 Rieupeyroux,06 79 41 92 07,stephanemaurel@sfr.fr,,,retrocalage,RÉTRO PASSION SEGALA,email: stephanemaurel@sfr.fr
CLUB DS/ID CÔTE BASQUE,64990 Lahonce,06 98 71 74 00,clubdsid-cotebasque@laposte.net,,https://www.facebook.com/profile.php?id=100092489900222,retrocalage,CLUB DS ID CÔTE BASQUE,email: clubdsid-cotebasque@laposte.net
GOLD OLD CARS,"09922
jacodel",0324974099,jacodel@skynet.be,,https://www.facebook.com/groups/308664983124861,retrocalage,GOOD OLD CARS,email: jacodel@skynet.be
CITRO-ËN-CAUX,76210 Beuzeville-la-Grenier,06 60 88 7163,citroencaux@gmail.com,,https://www.facebook.com/profile.php?id=61553225442462,retrocalage,CITRO-ËN-CAUX,email: citroencaux@gmail.com
CLUB PANTHER FRANCE,68800 Vieux-Thann,06 82 88 81 91,club.panther.france@gmail.com,,https://club-panther-france.forumactif.com,retrocalage,CLUB PANTHER FRANCE,email: club.panther.france@gmail.com
CLUB PANTHER FRANCE,11220 Serviès-en-Val,06 32 23 44 43,club.panther.france@gmail.com,,https://club-panther-france.forumactif.com,retrocalage,CLUB PANTHER FRANCE,email: club.panther.france@gmail.com
CLUB PANTHER FRANCE,41100 Coulommiers-la-Tour,06 25 55 34 75,club.panther.france@gmail.com,,https://club-panther-france.forumactif.com,retrocalage,CLUB PANTHER FRANCE,email: club.panther.france@gmail.com
CLUB PANTHER FRANCE,33110 Le,06 14 02 93 24,club.panther.france@gmail.com,,https://club-panther-france.forumactif.com,retrocalage,CLUB PANTHER FRANCE,email: club.panther.france@gmail.com
MT CLASSIC CAR,26340 Saillans,06 36 51 87 95,mt.classic.car07@gmail.com,,https://www.facebook.com/profile.php?id=61558377531237,retrocalage,MT CLASSIC CAR FAMILY CAR CLUB,email: mt.classic.car07@gmail.com
AUTOMOBILE CLUB DE GRANVILLE,50320 Hocquigny,06 44 87 13 36,philippe.rabbat@sfr.fr,,https://automobileclubdegranville.over-blog.com/,retrocalage,ANCIENNES VOITURES DE L'AVRANCHIN,tel: 0644871336
2 CV CLUB CENTRE ALSACE,67220 Dieffenbach-au-Val,07 82 66 90 10,president@2cvcentrealsace.fr,,https://2cvcentrealsace.fr,retrocalage,2 CV CLUB ET RÉTRO CENTRE ALSACE,email: president@2cvcentrealsace.fr
LES ANCIENNES CHAUMONTAISES,41600 Chaumont-sur-Tharonne,0577338776,lac41600@gmail.com,,https://www.facebook.com/groups/1057733877695734,retrocalage,LES ANCIENNES CHAUMONTAISES - LAC,email: lac41600@gmail.com
ALFA CLUB DES VOLCANS,43000 Le,07 86 42 19 67,alfaclubdesvolcans@gmail.com,,https://alfaclubdesvolcans.fr,retrocalage,ALFA CLUB DES VOLCANS,email: alfaclubdesvolcans@gmail.com
LES VIEILLES ROUES DE LA SOURCE DU CHER,23420 Mérinchal,06 31 51 46 96,associationlesvieillesroues@gmail.com,,,retrocalage,LES VIEILLES ROUES DE LA SOURCE DU CHER,email: associationlesvieillesroues@gmail.com
CLUB DES AMATEURS DE VÉHICULES D'ÉPOQUE,82100 Castelsarrasin,05 63 95 15 16,cave.82@free.fr,,https://www.facebook.com/p/CAVE-82-100057386742774/,retrocalage,CLUB DES AMATEURS DE VÉHICULES D'ÉPOQUE DU TARN-ET-GARONNE - CAVE 82,email: cave.82@free.fr
CLUB EXCALIBUR EUROPE,28260 Saussay,06 05 03 56 20,club-excalibur-europe@hotmail.com,,https://www.club-excalibur-europe.com,retrocalage,CLUB EXCALIBUR EUROPE,email: club-excalibur-europe@hotmail.com
CORSICA AUTO PASSION,20167 Ajaccio,06 72 93 73 06,corsicaautopassion@gmail.com,,,retrocalage,CLUB CORSICA AUTO PASSION,email: corsicaautopassion@gmail.com
LES VIEUX PISTONS TONNERROIS,10130 Bernon,06 87 16 80 52,secretariat.lvpt@gmail.com,,https://www.facebook.com/groups/lvpt89,retrocalage,LES VIEUX PISTONS TONNERROIS,email: secretariat.lvpt@gmail.com
CLUB PANTHER FRANCE,63430 Pont-du-Château,06 81 48 80 30,club.panther.france@gmail.com,,https://club-panther-france.forumactif.com,retrocalage,CLUB PANTHER FRANCE,email: club.panther.france@gmail.com
CLUB PANTHER FRANCE,59139 Wattiginies,06 41 66 31 02,club.panther.france@gmail.com,,https://club-panther-france.forumactif.com,retrocalage,CLUB PANTHER FRANCE,email: club.panther.france@gmail.com
CLUB PANTHER FRANCE,84170 Monteux,06 75 58 19 90,club.panther.france@gmail.com,,https://club-panther-france.forumactif.com,retrocalage,CLUB PANTHER FRANCE,email: club.panther.france@gmail.com
CLUB PANTHER FRANCE,21110 Fauverney,06 88 53 92 55,club.panther.france@gmail.com,,https://club-panther-france.forumactif.com,retrocalage,CLUB PANTHER FRANCE,email: club.panther.france@gmail.com
CLUB PANTHER FRANCE,29200 Brest,06 64 93 46 29,club.panther.france@gmail.com,,https://club-panther-france.forumactif.com,retrocalage,CLUB PANTHER FRANCE,email: club.panther.france@gmail.com
VDC NORMANDIE,14100 Lisieux,,contact@vdcnormandie.com,,http://www.vdcnormandie.com,retrocalage,VDC NORMANDIE,email: contact@vdcnormandie.com
AMERICAN CAR CLUB DE FRANCE,14280 Authie,07 82 69 37 05,contact@accf.com,,https://www.accf.com,retrocalage,AMERICAN CAR CLUB DE FRANCE,email: contact@accf.com
SOUPAPES ET PISTONS BAYONNE,64100 Bayonne,06 45 09 21 60,contact@soupapesetpistons.fr,,http://www.soupapesetpistons.fr,retrocalage,SOUPAPES ET PISTONS,email: contact@soupapesetpistons.fr
ASSOCIATION DES VÉHICULES ANCIENS DU VAL DE L'EYRE,33830 Lugos,06 70 71 96 36,avav33.40@gmail.com,,https://www.facebook.com/p/AVAV-Association-des-V%C3%A9hicules-Anciens-du-Val-de-lEyre-100081557040841/,retrocalage,MOTOS SÉCURITÉ 33/40,tel: 0670719636
CLUB CORVETTE C3,34070 Montpellier,,info@cc3.fr,,https://www.cc3.fr,retrocalage,CLUB CORVETTE C3,email: info@cc3.fr
TUAR AUTOMOBILE CLUB,79100 Thouars,06 88 08 47 38,tuar.club@gmail.com,,https://www.facebook.com/profile.php?id=100075884745197,retrocalage,TUAR AUTOMOBILE CLUB,email: tuar.club@gmail.com
RÉTRO PASSION DES DEUX RIVES,33410 Cadillac-sur-Garonne,06 12 11 93 65,retropassion2r@gmail.com,,https://www.facebook.com/p/R%C3%A9tro-passion-des-2-rives-100080700037188/,retrocalage,RÊTRO PASSION DES DEUX RIVES,email: retropassion2r@gmail.com
CLUB PANTHER FRANCE,95320 Saint-Leu-la-Forêt,06 80 78 51 98,club.panther.france@gmail.com,,https://club-panther-france.forumactif.com,retrocalage,CLUB PANTHER FRANCE,email: club.panther.france@gmail.com
LÉ SNYULE DE LA VALLÉE VERTE,74420 Saint-André-de-Boëge,06 71 31 23 81,snyule74@gmail.com,,https://lesnyule.wixsite.com/le-snyule,retrocalage,AMICALE LE SNYULE DE LA VALLÉE VERTE,email: snyule74@gmail.com
CLUB DES AMATEURS D'ANCIENNES RENAULT - CAR ILE-DE-FRANCE,92350 Le,,contact@anciennesrenault.com,,https://www.anciennesrenault.com,retrocalage,CAR ILE-DE-FRANCE - CLUB DES AMATEURS D'ANCIENNES RENAULT,email: contact@anciennesrenault.com
CLUB DES AMATEURS D'ANCIENNES RENAULT - CAR LYONNAIS,69390 Charly,06 98 93 43 40,clubrenaultlyon@free.fr,,http://clubrenaultlyon.free.fr,retrocalage,C.A.R. LYONNAIS,email: clubrenaultlyon@free.fr
AMICALE LOCOMOTION,94100 Saint-Maur-des-Fossés,06 88 49 57 82,amicale-locomotion@orange.fr,,,retrocalage,AMICALE LOCOMOTION,email: amicale-locomotion@orange.fr
AMIS VÉHICULES RÉTRO,82800 Nègrepelisse,06 03 85 37 62,avr.negrepelisse@orange.fr,,,retrocalage,AMIS VÉHICULES RÉTRO - AVR,email: avr.negrepelisse@orange.fr
LA TRACTION UNIVERSELLE - Section Aquitaine,33160 Saint-Médard-en-Jalles,06 31 93 13 20,d.giraud@la-traction-universelle.org,,http://www.la-traction-universelle.org,retrocalage,LA TRACTION UNIVERSELLE AQUITAINE,email: d.giraud@la-traction-universelle.org
LES VIEUX VOLANTS D'ANNOEULLIN,59112 Annoeullin,06 60 27 49 26,secretariatvva@hotmail.com,,http://lesvieuxvolantsdannoeullin.e-monsite.com,retrocalage,LES VIEUX VOLANTS D'ANNOEULLIN,email: secretariatvva@hotmail.com
VDC NORMANDIE,76190 Allouville-Bellefosse,,contact@vdcnormandie.com,,http://www.vdcnormandie.com,retrocalage,VDC NORMANDIE,email: contact@vdcnormandie.com
JEEP CLUB DU LYONNAIS,69290 Craponne,06 11 14 44 50,jeepclublyonnais@gmail.com,,,retrocalage,JEEP CLUB DU LYONNAIS,email: jeepclublyonnais@gmail.com
AMICALE RETRO NIVERNAISE,58660 Coulanges-lès-Nevers,06 60 93 88 23,sylvie.lelonge@orange.fr,,,retrocalage,AMICALE RÉTRO NIVERNAISE - ARN,email: sylvie.lelonge@orange.fr
ASSOCIATION DE SAUVEGARDE DES CYCLOMOTEURS À MOTEUR LE POULAIN VAP ABG ET AUTRES,14123 Cormelles-le-Royal,07 80 45 13 88,asso.cyclomoteurslepoulain@hotmail.com,,https://www.facebook.com/groups/2251674261771991,retrocalage,ASSOCIATION DE SAUVEGARDE DES VELOCARS ET VOITURETTES CHARLES MOCHET,tel: 0780451388
ASSOCIATION DE SAUVEGARDE DES ANCIENNES MICROCARS FRANÇAISES,14123 Cormelles-le-Royal,07 80 45 13 88,asso.anciennesmicrocars@hotmail.com,,https://www.facebook.com/groups/278009643075142,retrocalage,ASSOCIATION DE SAUVEGARDE DES VELOCARS ET VOITURETTES CHARLES MOCHET,tel: 0780451388
AMICALE ALSACIENNE DE VOITURES D'ÉPOQUE,67520 Kuttolsheim,06 13 98 59 12,a.a.v.e@orange.fr,,,retrocalage,AMICALE ALSACIENNE DE VOITURES D'ÉPOQUE - AAVE,email: a.a.v.e@orange.fr
BEAULIEU CLASSIC AUTO,19120 Beaulieu-sur-Dordogne,06 77 21 17 87,beaulieuclassicauto@hotmail.com,,https://www.facebook.com/BeaulieuClassicAuto,retrocalage,BEAULIEU CLASSIC AUTO - BCA,email: beaulieuclassicauto@hotmail.com
BERLINETTE ALPINE CLUB LORRAIN,57130 Sainte-Ruffine,06 17 15 05 62,jumpy.a110@free.fr,,http://baclor.fr,retrocalage,BERLINETTE ALPINE CLUB LORRAIN - BACLOR,email: jumpy.a110@free.fr
CLUB 104 PEUGEOT,64260 Lys,06 83 55 22 58,club104peugeot@gmail.com,,https://www.club104peugeot.fr,retrocalage,CLUB 104 PEUGEOT,email: club104peugeot@gmail.com
AUTOMOBILE CLUB DES DEUX-SÈVRES,79000 Niort,05 49 06 07 07,info@automobileclub79.com,,https://www.automobileclub79.com,retrocalage,AUTOMOBILE CLUB DES DEUX-SÈVRES,email: info@automobileclub79.com
CLUB RÉTROMOBILE DU BAS-ARMAGNAC,32240 Estang,06 07 50 34 96,crba.estang@gmail.com,,,retrocalage,CLUB RÉTRO MOBILE DU BAS ARMAGNAC - CRBA,email: crba.estang@gmail.com
ZAMAC37,37170 Chambray-lès-Tours,06 07 40 97 24,zamac37chambray@laposte.net,,,retrocalage,ZAMAC 37,email: zamac37chambray@laposte.net
ENGLISH RENCART,77140 Saint-Pierre-lès-Nemours,06 45 79 37 19,english-rencart@laposte.net,,https://www.english-rencart.asso-web.com,retrocalage,ENGLISH renCARt,tel: 0645793719
AUTOMOBILE CLUB D'OCCITANIE,34500 Béziers,06 10 10 10 75,automobileclubdoccitanie@gmail.com,,https://automobileclubdoccitanie.com,retrocalage,AUTOMOBILE CLUB D'OCCITANIE - ACO,email: automobileclubdoccitanie@gmail.com
AMICALE DES VIEILLES BIELLES CHATILLONNAISES,21400 Châtillon-sur-Seine,06 08 97 52 93,jm.marechal@wanadoo.fr,,,retrocalage,AMICALE DES MÉCANIQUES ANCIENNES DU CHATILLONAIS,email: jm.marechal@wanadoo.fr
LES VIEILLES COQUILLES ICAUNAISES,89110 Poilly-sur-Tholon,03 86 62 03 11,lesvieillescoquilles89@gmail.com,,https://www.facebook.com/profile.php?id=100081917834510,retrocalage,LES VIEILLES COQUILLES ICAUNAISES,tel: 0386620311
CLUB DES AMIS DE LA 2 CV - Antenne Régionale Forez Velay Lyonnais,42330 Saint-Médard-en-Forez,06 08 01 87 56,yves.lauranson@gmail.com,,https://www.clubdesamisdela2cv.com,retrocalage,CLUB DES AMIS DE LA 2 CV - ANTENNE FOREZ VELAY LYONNAIS,email: yves.lauranson@gmail.com
CLUB EVENTS AUTO,13127 Vitrolles,06 18 25 13 41,events.auto.paca@gmail.com,,https://www.eventsauto.fr,retrocalage,EVENTS AUTO,tel: 0618251341
AMICALE DES VÉHICULES ANCIENS DU GÂTINAIS,91710 Vert-le-Petit,06 74 71 76 74,avag91710@gmail.com,,https://www.facebook.com/groups/272991353394766/,retrocalage,AMICALE DES PROPRIÉTAIRES DE VÉHICULES ANCIENS DU GTINAIS - AVAG 91710,email: avag91710@gmail.com
RÉTRO RACING CLUB,87260 Pierre-Buffière,06 11 34 00 17,retroracingpb@gmail.com,,https://retroracingclub.wordpress.com,retrocalage,RÉTRO RACING CLUB,email: retroracingpb@gmail.com
VÉHICULES ANCIENS DU LOUDUNOIS,86200 Loudun,06 81 34 14 96,val86club@gmail.com,,,retrocalage,VAL - CLUB VÉHICULES ANCIENS DU LOUDUNOIS,email: val86club@gmail.com
ECURIE DU LÉMAN,74580 Viry,06 09 59 18 49,ecurie.du.leman@gmail.com,,,retrocalage,AUTO RÉTRO VIRY,tel: 0609591849
ORCINES RÉTRO MOBILE,63870 Orcines,04 73 62 20 00,dma99127@gmail.com,,http://orcines-retro-mobile.e-monsite.com,retrocalage,ORCINES RÉTRO MOBILE - ORM,tel: 0473622000
CAR PAYS DES SOURCES,60150 Janville,06 43 74 11 66,taximaxime@orange.fr,,https://www.facebook.com/carpaysdessources,retrocalage,CAR PAYS DES SOURCES,email: taximaxime@orange.fr
AMATEURS QUERCYNOIS DE VÉHICULES ANCIENS,46230 Laburgade,05 65 31 83 71,patrick-gazaud@orange.fr,,http://aqva.info,retrocalage,AMATEURS QUERCYNOIS DE VÉHICULES ANCIENS,email: patrick-gazaud@orange.fr
AMICALE LES DÉJANTÉS UBAYENS AUTO ET MOTO ANCIENNE,04530 La,06 10 83 38 96,juvamonde@gmail.com,,http://les-mamies-roulantes-en-ubaye.e-monsite.com,retrocalage,AMICALE LES DÉJANTÉS EN UBAYE,email: juvamonde@gmail.com
AMICALE VÉHICULES ANGLAIS,49460 Montreuil-Juigné,06 14 98 57 83,a.lefaucheux@wanadoo.fr,,https://amicaleava.fr,retrocalage,AMICALE DES VÉHICULES ANGLAIS - AVA,tel: 0614985783
ALPINE ET RENAULT ANCIENNES DRÔME ARDÈCHE,26120 Montélier,06 19 16 45 65,arada.alpine.renault@gmail.com,,http://club-arada.fr,retrocalage,ALPINE ET RENAULT ANCIENNES DRÔME ARDÊCHE - ARADA,email: arada.alpine.renault@gmail.com
PASSION VÉHICULES VAL DE SAÔNE,70100 Arc-lès-Gray,06 49 52 18 33,contactp2vs@gmail.com,,http://passionvehiculesvaldesaone.com,retrocalage,PASSION VÉHICULES VAL-DE-SAÔNE,email: contactp2vs@gmail.com
ECURIE BOURBONNAISE DES AMATEURS DE VÉHICULES ANCIENS,03301 Cusset,04 63 88 99 76,robert.carte1958@gmail.com,,http://www.ebava.fr,retrocalage,ÉCURIE BOURBONNAISE AMATEURS VÉHICULES ANCIENS - EBAVA,email: robert.carte1958@gmail.com
