nom,adresse,telephone,email,representant,site,source
2 CV CLUB ET RÉTRO CENTRE ALSACE,67220 Dieffenbach-au-Val - France,07 82 66 90 10,president@2cvcentrealsace.fr,Pdt : André Reboul ; Trés. : Denise Gutzler,http://www.2cvcentrealsace.fr,lva-auto
2 CV CLUB GARLABAN,13400 Aubagne - France,04 42 03 37 95,garlaban.club2cv@free.fr,Pdt : Philippe Gaillard ; Vice-Pdt : Marc Bracaloni ; Trés. : Claude Bernardini ; Secrét. : Jean Varroy,http://www.2cvclubgarlaban.fr,lva-auto
2 CV CLUB HENRY IV,64190 Navarrenx - France,05 59 66 53 90,cakahlhoven@orange.fr,Pdt : Jacques Pedehontaa ; Trés. : Claude-Annie Kahlhoven; Secrét. : Jean-François Pedehontaa,,lva-auto
2 CV CLUB HÉRAULT,34660 Cournonsec - France,06 65 76 19 57,deuchclubherault@yahoo.fr,Pdt : Daniel Minon ; Trés. : Philippe Gimenez ; Secrét. : Frédéric Houlez,,lva-auto
2 CV CLUB LE VOLANT DE FER,06450 Belvédère - France,,renelerda2cv@gmail.com,Pdt : René Lerda ; Trés. : Thierry Bouchot ; Secrét. : Roger Lanza,http://www.2cvclublevolantdefer.com,lva-auto
2 CV CLUB LUBERON-VENTOUX,84740 Velleron - France,06 81 93 40 49,2cvluberonventoux@gmail.com,Pdte : Agnès David ; Vice-Pdte : Claudine Fontaine ; Trés. : Roland Joye ; Secrét. : Christian Leclercq,http://www.2cvclubluberonventoux.fr,lva-auto
2 CV DÉLIRE,38400 Saint-Martin-d'Hères - France,06 70 07 39 76,2cvclubdelire@free.fr,,,lva-auto
2 CV DER,51300 Thiéblemont-Farémont - France,06 27 11 75 32,gerald.dumain@sfr.fr,Pdt : Gérald Dumain ; Trés. : Thierry Lebobe ; Secrét. : Monique Collas,,lva-auto
2 CV et + Club Pontois,17800 Mazerolles - France,,2cv.clubpontois@gmail.com,Pdt : Patrick Mossion,,lva-auto
2 CV MON AMOUR,29000 Quimper - France,06 38 93 95 07,secretaire2cvmonamour1@gmail.com,Pdt : François Gallego ; Trés. : Martine Tressard ; Secrét. Gwenola Morvan,https://2cvmonamour.wixsite.com/2cvclub,lva-auto
2 CV SOUS LES POMMIERS,14130 Pont-l'Évêque - France,06 70 04 20 11,2cvsouslespommiers@wanadoo.fr,Pdt : Sébastien Lang et Philippe Brienne ; Trés. : Pascal Langlois et Michel Lang ; Secrét. : Marie-Claude Ray et Ãric Blanvillain,http://www.2cvsouslespommiers.over-blog.com,lva-auto
2 CV TOUS TERRAINS,71450 Blanzy - France,03 85 68 08 36,jean-pierre.marchandon@wanadoo.fr,Pdt : Jean-Pierre Marchandon,http://2cvclubtousterrains.blog.free.fr,lva-auto
205 GTI CLUB DE FRANCE,69005 Lyon 5 - France,06 74 43 51 51,contact@club205gti.fr,Pdt : Thierry Larue,http://www.club205gti.fr,lva-auto
205 RALLYE CLUB DE FRANCE,95240 Cormeilles-en-Parisis - France,06 08 82 40 86,contact@205rallye.net,Pdt : François Quaiton ; Trés. : Sylvain Pelatan ; Secrét. : Emmanuel Valentin,http://www.205rallye.net,lva-auto
4 ROUES SOUS UN PARAPLUIE,21910 Corcelles-lès-Cîteaux - France,06 83 84 93 90,4rouessousunparapluie@gmail.com,Pdte : Marie-Ãlisabeth Chevalier ; Vice-Pdt : Joël Biazizzo ; Trés. : Jacques Fattelay ; Secrét. : Daniel Dupont,http://quatreroues.jimdo.com,lva-auto
4L PÉRIGORD,24000 Périgueux - France,,contact@4lperigord.fr,Pdt : Guillaume Launes ; Vice-Pdt : Rudi Jeanson ; Trés. Sébastien Girardeau ; Secrét. : J. Coudert ; Secrét. adj. : P. Breton,https://4lperigord.fr,lva-auto
6ENLIGNE.NET,31700 Cornebarrieu - France,,adhesion@6enligne.net,Pdt : Frédéric Rolfo,http://www.6enligne.net,lva-auto
À LA RECHERCHE DES AUTOS PERDUES,77400 Dampmart - France,06 03 01 05 17,autosperdues@hotmail.fr,Pdt : Régis Hamel ; Trés. : Yves Marchand ; Secrét. : Michel Delacour,http://www.alarecherchedesautosperdues.fr,lva-auto
À NOUS LES VIEILLES ANGLAISES,69890 La Tour-de-Salvagny - France,,cath.levert@gmail.com,Pdte : Noëlle Clauss ; Vice-Pdt : Gaëtan Falcot ; Trés. : Daniel Mollard ; Trés. adj. : Catherine Verpault ; Secrét. : Catherine Verpault,http://anouslesvieillesanglaises.com,lva-auto
A-110 ET CIE,70200 Vouhenans - France,06 17 53 09 59,a110etcompagnie@gmail.com,Pdt : Christian Bresson ; Vice-Pdt : Frank Bresson ; Trés. : Sabrina Bresson ; Trés. adj. : Steve Blanc,http://www.a-110etcompagnie.com,lva-auto
A.B.A.H.R.,68840 Pulversheim - France,06 12 09 52 52,garagetonnelle@orange.fr,Pdt : Joël Tonnelle,,lva-auto
A.C.S.O. CLASSIC,33080 Bordeaux Cedex - France,05 56 44 22 92,acso.classic@gmail.com,Pdt : Vincent Picot,http://www.acso-classic.com,lva-auto
A.M.J.C.O.,45430 Chécy - France,02 38 86 07 25,jmcfaure0353@orange.fr,Pdt : Jean Faure,http://www.amjco.fr,lva-auto
A.V.E.M 86,86530 Cenon-sur-Vienne - France,06 83 71 27 11,avem86@hotmail.fr,Pdt : Rudy Chabot ; Trés. : Marny Chabot ; Secrét. : Anne-Louise Blanchard,http://www.avem86forum.com,lva-auto
A2VE,88160 Le Ménil - France,,a2ve@orange.fr,Pdt : Didier Brasme ; Trés. : Roger Sabatier ; Secrét. : Ãric Sage,http://www.a-2v-e.fr,lva-auto
A310 CLUB SPORT,13170 Les Pennes-Mirabeau - France,04 91 79 17 18,alpine310.clubsport@gmail.com,Pdt : Marcel Kartner ; Trés. : Denise Champclaux ; Secrét. : Christophe Carduner,,lva-auto
ABA 34-30,34570 Pignan - France,04 34 35 53 81,bernard.triaire@neuf.fr,,,lva-auto
ACB,53170 Maisoncelles-du-Maine - France,06 75 85 66 43,edequatrebarbes@gmail.com,Pdt : Philippe Brégeon ; Trés. et Secrét. : Edouard de Quatrebarbes,,lva-auto
AGVA - AMATEURS GANNATOIS DE VÉHICULES ANCIENS,03800 Gannat - France,04 70 90 54 04,,Pdt : Jean-Pierre Potier ; Trés. : Jean-Marc Doukhan ; Secrét. : Jean-Pierre Desgouttes,,lva-auto
AIR-5,45700 Chevillon-sur-Huillard - France,06 20 35 86 76,air-5@ymail.com,Pdt : Sylvain Boisramé ; Trés. et Secrét : Michel Perrier ; Webmaster : Cédric Billeque ; Référent tech. : Matthieu Rolland,http://www.renault-5.net,lva-auto
AJPA RETRO,21230 Arnay-le-Duc - France,03 80 64 37 09,jean-pierreaubert30@orange.fr,Pdt : Jean-Pierre Aubert ; Trés. adj. : Marie Fourrier ; Secrét. : Anne-Marie Aubert,http://www.ass-jparetro.com,lva-auto
ALES ALPINE - V.E.C,30340 Saint-Privat-des-Vieux - France,04 66 78 91 10,aavec@wanadoo.fr,Pdt : Geneviève Coube ; Trés. : Gilbert Christin ; Secrét. : Ãric Remuson,,lva-auto
ALFA CLASSIC CLUB DE FRANCE,77003 Melun Cedex - France,06 87 19 38 68,alfaclassicclub2.0@gmail.com,"Pdt : René Lebenthal ; Vice-Pdts : Emilio Agiato, Bruno Caggiula ; Trés. : F. Zanzucchi ; Secrét. : H. Chopin ; Organisation circuits, voyages et sorties : Dominique Pointu ; Resp. relations et sponsoring : Luc-Michel Riblier ; Comm. Internet : Je",http://www.alfaclassicclubclub.com,lva-auto
ALFA CLUB DES VOLCANS,43320 Saint-Vidal - France,07 86 42 19 67,alfaclubdesvolcans@gmail.com,Pdt : Ãric Fradet ; Trés. : Stéphane Le Duff ; Secrét. : Patrick George ; Communication : Audrey Brunet,https://alfaclubdesvolcans.fr,lva-auto
ALFA CLUB DU NORD,02300 Chauny - France,07 50 97 14 31,alfa.club@yahoo.fr,"Pdt : Jean-Louis Bridoux ; Trés. : Sylvain Rayez ; Secrét. : Jean-Francis Devaux ; Membres du bureau : Ãric Hermant, Romuald François, Jean-Francis Devaux, Luc d'Hilly, Laurent Letalnet, Thierry Salvadeo et Olivier Poinsot",http://www.facebook.com/alfaclubdunord,lva-auto
ALFA CLUB FRANCILIEN,77515 Faremoutiers - France,06 09 64 19 44,alfaclubfrancilien@sfr.fr,Pdt : Philippe Cortet ; Vice-Pdt : Christian Parent ; Trés. : Ãvelyne Caron ; Secrét. : Philippe Gambet,,lva-auto
ALFA CLUB TOULOUSE PYRÉNÉES,31330 Merville - France,05 61 79 31 20,alfa.clubtmp@orange.fr,Pdt : Georges Laferriere ; Vice-Pdt : Ludovic Labeyrie ; Secrét. : Jean-Jacques Salives ; Trés. : Lydie Lagoutte,http://alfaclubtpy.com,lva-auto
ALFA ROMEO - PARFUM DE TRÈFLE,22370 Pléneuf-Val-André - France,06 80 63 94 83,jean.yves.alfa@orange.fr,Pdt : Jean-Yves Barbier ; Trés. : Gildas Lenaour ; Secrét. : Guillaume Fesquet,http://www.parfumdetrefle.ovh,lva-auto
ALFA ROMEO CLUB HAUTS-DE-FRANCE,59262 Sainghin-en-Mélantois - France,06 07 75 40 39,alfaromeoclub.hdf@gmail.com,"Pdt : Jérémy Vasseur ; Vice-Pdt : Maxime Tourbier ; Trés. : François Riff ; Secrét. : Philippe Herreman ; Secrét. adj. : Colette Rose ; Membres du bureau : Fabrice Charrondière, Alexandre Van Landuyt",,lva-auto
ALFA-CLUB DU SUD-OUEST,24600 Ribérac - France,06 07 08 35 93,alfaclubsudouest@alfacso.com,Pdt : Jany Dexant ; Trés. : Thérèse Neyras ; Secrét. : Henry Courreges,http://www.alfacso.com,lva-auto
ALPINE + GORDINI 03,03310 Néris-les-Bains - France,04 70 03 23 00,michael-dacosta@wanadoo.fr,Pdt : José Da Costa ; Trés. : Patrice Dias ; Secrét. : Annie Da Costa,http://alpinegordini03.free.fr,lva-auto
ALPINE BRETAGNE CLUB - ABC,44310 Saint-Lumine-de-Coutais - France,06 66 26 97 09,contact@alpine-bretagne.com,Pdt : Charles Guilbeau ; Trés. : Isabelle Biret ; Secrét. : Charles Guilbeau,http://www.alpine-bretagne.com,lva-auto
ALPINE CLUB MÉDITERRANÉE,83136 Rocbaron - France,06 16 01 16 86,alpine.club.med@free.fr,Pdt : Alexandre Macinato ; Vice-Pdts : Guy Le Fevre et Philippe Causse ; Trés. : Hervé Vandeneulebroucke ; Secrét. : Gilbert Montoliu,,lva-auto
ALPINE CLUB PACA,06800 Cagnes-sur-Mer - France,04 93 73 29 62,alpinepaca@sfr.fr,,,lva-auto
ALPINE ET RENAULT ANCIENNES DRÔME ARDÊCHE - ARADA,26120 Montélier - France,06 19 16 45 65,arada.alpine.renault@gmail.com,Pdt : Alain Dufour ; Trés. : Georges Ravel ; Secrét. : Eric Gauthier,http://www.club-arada.fr,lva-auto
ALPINE ET RENAULT SPORT DU HAUT MCONNAIS,71260 Azé - France,06 86 63 07 00,contact@arshm.fr,Pdt : Yves Corneloup ; Trés. : Gérard Janaud ; Secrét. : Claudette Monnet,http://www.arshm.fr,lva-auto
ALPINE GORDINI CLUB DE LA VIENNE,86370 Marçay - France,06 77 84 23 14,contact@agc86.fr,Pdt : Sylvain Quillet ; Vice-Pdt : Roger Cleuzet ; Trés. : Julien Vignault ; Secrét. : Loïc Marchelidon,http://www.agc86.fr,lva-auto
ALPINE GORDINI CLUB VALLÉE DE LA BRUCHE - AGCVB,67420 Saales - France,06 10 90 24 60,agcvb@orange.fr,Pdt : Jean-Marc Fluck ; Vice-Pdt : Noël Pascal ; Trés. : Dimitri Fluck ; Secrét. : Nadine Guillot,http://www.agcvb.franceserv.fr,lva-auto
ALPINE GRAND OUEST,44600 Saint-Nazaire - France,06 68 01 04 37,,Pdt : Philippe Andrieux ; Vice-pdt : Christophe Legac ; Trés. : Jean-Claude Marie ; Trés. adj. : Yves-Marie Leroux ; Secrét. : Pascal Redois ; Secrét. adj. : Philippe Martinho,,lva-auto
ALPINE VENTOUX CLUB,84200 Carpentras - France,06 98 96 96 15,alpine-ventoux@free.fr,Pdt : Lionel Lichière ; Trés. : Pierre-H Mourges ; Secrét. : Alain Boyac,http://www.alpine.ventoux.free.fr,lva-auto
AMA AUTOS MOTOS ANTIQUES DE L'ENCLAVE DES PAPES,84600 Grillon - France,06 22 47 16 73,sophiehulard@gmx.fr,Pdte : Sophie Hulard ; Vice-Pdt : René Acien ; Trés. : Michel Soulier,,lva-auto
AMATEURS AUTOMOBILES ANCIENNES ÉCURIE LIMAGNE,63570 Bansat - France,04 73 96 24 87,didarme@free.fr,Pdte : Armelle Rannou-Bériot ; Secrét. : Christine Blanchet,,lva-auto
AMATEURS CLUB CG,08250 Grandpré - France,06 29 02 42 98,amateurclubcg@orange.fr,Pdt : Cyril Grosselin ; Trés. : Christiane Grosselin ; Secrét. : Muriel Beauquenne,http://amateursclubcg.fr,lva-auto
AMATEURS D'UTILITAIRES DE LA VALLÉE DE LA LOIRE,37120 Richelieu - France,06 87 39 29 06,auvl.richelieu@gmail.com,Pdt : Ãtienne Charrais ; Trés. : Benoît Pyrault ; Secrét. : Philippe Piard,,lva-auto
AMATEURS DAUPHINOIS D'AUTOMOBILES DE COLLECTION - ADAC,38300 Ruy-Montceau - France,06 07 76 55 49,contact@adacnordisere.fr,Pdt : Jean-Paul Jaboulay ; Trés. : Marie-Agnès Saugey ; Secrét. : Jean-Marc Dardard,http://www.adacnordisere.fr,lva-auto
AMATEURS DE CAMIONS ET AUTOCARS ANCIENS - RÉGION EST,67000 Strasbourg - France,06 74 77 05 79,brunmichel@gmail.com,Pdt : Bruno Michel ; Vice-Pdt : Francis Leonhart ; Secrét. : Alain Rusch ; Trés. : Nathalie Strauch,,lva-auto
AMATEURS DE VÉHICULES ANCIENS DU MORBIHAN - AVAM,56260 Larmor-Plage - France,06 74 53 89 02,courant.francoise@wanadoo.fr,Pdte : Françoise Courant,http://www.avam56.fr,lva-auto
AMATEURS DE VÉHICULES ANCIENS DU PONANT - AVAP,29290 Milizac - France,02 98 07 97 83,nonet.stephane@wanadoo.fr,Pdt : Stéphane Nonet ; Trés. : Lucien Inisan ; Secrét. : Philippe Prigent,http://www.avap29.fr,lva-auto
AMATEURS DE VÉHICULES ANCIENS DU ROUSSILLON - AVAR,66000 Perpignan - France,06 09 53 49 26,bacleyvesmarie@gmail.com,"Pdt d'honneur : Georges Billes ; Pdt : Paul Saly ; Trés. : Christian Auriach ; Secrét. : Yves-Marie Bacle ; Administrateurs : René Pietrantuno, Jean-Michel Ferrier, Pascal Roussat, Robert Rigual, Serge Molins, Dominique Bruchet, Philippe Guillemat",http://avar.fr,lva-auto
AMATEURS ET COLLECTIONNEURS D'AUTOMOBILES DE TOURAINE - ACAT,37540 Saint-Cyr-sur-Loire - France,02 47 27 28 80,contact@acat-autos-37.fr,Trés. et Secrét. : Martine Huteau ; Cons. tech. : Jean-Claude Grimault ; Resp. sorties : Patrick Augereau ; Resp. Internet et Comm. : Hervé Boileau,http://www.acat-autos-37.fr,lva-auto
AMATEURS LYONNAIS DE LA BERLINETTE ALPINE - ALBA,38280 Villette-d'Anthon - France,,clubalba110@gmail.com,Pdt : Christian Favier ; Trés. : Patrick Monge ; Secrét. : Fabienne Monge,http://www.alba110.com,lva-auto
AMATEURS MAYENNAIS DE VÉHICULES ANCIENS,53000 Laval - France,06 15 41 13 11,contact@amva53.fr,Pdt : Ãric Paris ; Vice-Pdt : Jean-Yves Hubert ; Trés. : Béatrice Rouaud ; Secrét. : André Bouvier,http://amva53.fr,lva-auto
AMATEURS MONTLUÇONNAIS DE VÉHICULES ANCIENS,03100 Montluçon - France,06 31 12 17 26,phillipe.triboulet@sfr.fr,Pdt : Philippe Triboulet ; Vice-Pdt : Patrick Gillet ; Trés. : Bruno Menu ; Trés. adj. : Daniel Pascual ; Secrét. : Bernard Sidère ; Secrét. adj. : Pierre Dumas,http://amva.xooit.fr/,lva-auto
AMATEURS QUERCYNOIS DE VÉHICULES ANCIENS,46230 Laburgade - France,06 75 38 12 18,patrick-gazaud@orange.fr,Pdt : Patrick Gazaud ; Trés. : Paul Sarrut ; Secrét. : Alain Parazines,http://aqva.info,lva-auto
AMÉRICAINES CLUB MONTLUÇONNAIS,03100 Montluçon - France,06 63 63 75 22,americainesclubmontlucon@outlook.com,Pdt : Dominique Moal,,lva-auto
AMERICAN BREIZH CAR,29600 Plourin-lès-Morlaix - France,06 71 00 37 06,contact@americanbreizhcar.com,Pdt : Yvon Le Saout ; Trés. : Patrice Hilliard ; Secrét. : Christophe Moal,http://americanbreizhcar.com,lva-auto
AMERICAN CAR CLUB DE FRANCE,14280 Authie - France,07 82 69 37 05,contact@accf.com,Pdt : Michel Wurtz,http://www.accf.com,lva-auto
AMERICAN CAR LEGEND DU LIMOUSIN,87200 Saint-Junien - France,05 55 02 72 15,anniejacky33@orange.fr,Pdt : Jacky Léger ; Vice-Pdt : Carlos Henriques ; Secrét. : Aline Henriques ; Trés. : Annie Dumet-Léger,,lva-auto
AMERICAN CARS CLUB D'ARMOR - ACCA,22000 Saint-Brieuc - France,06 13 05 52 42,fportzer@gmail.com,Pdt : François Portzer ; Secrét. : Sébastien Robreau ; Trés. : Christian Nicolas,http://www.acca-club.fr,lva-auto
AMERICAN FEELING CAR CLUB,31270 Frouzins - France,06 69 22 30 76,31americanfeeling@gmail.com,Pdt : André Palis ; Vice-Pdt : Hervé Techeyne ; Secrét. : Fred Dunal ; Trés. : Jean-François Thepenier,http://www.ameling31.com,lva-auto
AMERISUD,64000 Pau - France,07 66 24 57 61,amerisud@sfr.fr,Pdt : Jean-Michel Douillard,http://www.amerisud.fr,lva-auto
AMI DEUCH'80,80136 Rivery - France,06 59 30 68 68,amideuch80@yahoo.fr,Pdt : Patrick Charassain,http://www.amideuch80.fr,lva-auto
AMI-DEUCHE CHALONNAIS,71100 Chalon-sur-Saône - France,06 12 13 91 92,ami-deuche-chalonnais@wanadoo.fr,Pdt : Michel Bresset,https://ami2cvchalonnais.jimdofree.com,lva-auto
AMIC4LE DE TOUR4INE,41230 Soings-en-Sologne - France,06 59 95 84 41,contact.amicaledetouraine@gmail.com,Pdt : Frédéric Odier ; Trés. : Isabelle Brossard ; Secrét. : Isabelle Brossard,http://amic4ledetour4ine.fr,lva-auto
AMICAL MOTOR CLUB DE GRASSE,06750 Caille - France,06 60 57 72 05,adrien@prato06.fr,Pdt : Adrien Prato ; Trés. : Georges Chomeloux ; Secrét. : Danielle Borsotto,,lva-auto
AMICALE 2 CV ALSACE,67760 Gambsheim - France,03 88 96 85 46,amicale.2cv.alsace@orange.fr,,,lva-auto
AMICALE 203 FRANCHE-COMTÉ,25750 Semondans - France,03 81 93 42 91,amicale203fc@orange.fr,Pdt : Ãric Barthelat ; Vice-Pdt : Philippe Lamy,,lva-auto
AMICALE 203 PEUGEOT,95580 Margency - France,06 08 23 93 69,amicale203@outlook.fr,Pdt : Dominique Réveillère ; Trés. : Françoise Noret ; Secrét. : Francine Hérot,http://amicale-203.e-monsite.com,lva-auto
AMICALE 203 PEUGEOT PAYS-DE-LOIRE,44230 Saint-Sébastien-sur-Loire - France,02 40 06 54 91,contact@amicale203-pdl.fr,Pdt : Frédéric Triou ; Trés. : Damien Coby Alsina ; Secrét. : Pascal Rageaud,http://www.amicale203-pdl.fr,lva-auto
AMICALE 203 PEUGEOT PROVENCE,30630 Goudargues - France,06 32 84 42 20,amicale203provence@gmail.com,Pdt : Ãric Blanc ; Trés. : Ãmile Mouret ; Secrét. : Marielle Brenier,,lva-auto
AMICALE 204-304,79210 Mauzé-sur-le-Mignon - France,,bureau@amicale-204-304.com,Pdt : Pierre Jullien ; Vice-Pdt : Jean-Pierre Deboichet ; Secrét. : Maxime Rouanet ; Trés. : Maryse Roux ; Newsletter : David Denis-Petit ; Salons : Sylvain Ascension ; Refab. : Pierre Madry,http://amicale-204-304.com/,lva-auto
AMICALE 4 CV 17,17610 Chaniers - France,05 46 93 66 86,yves.olivre@gmail.com,Pdt : Yves Olivré ; Vice-Pdt : Alain Gayau ; Trés. : Jacques Lefevre ; Secrét. : Yvelise Lefebvre,http://www.amicale4cv.fr,lva-auto
AMICALE 5 HP CITROËN,45640 Sandillon - France,06 78 13 22 68,amicale5hp@free.fr,Pdt : Jean-Pierre Roland ; Trés. : Joël Robiteau ; Secrét. : Isabelle Brunet,http://amicale5hp.free.fr,lva-auto
AMICALE 504,92120 Montrouge - France,,secretaire@amicale504.com,Pdt : Olivier Merville ; Vice-Pdt : Frédéric Eude ; Trés. : Jean-François Le Moing ; Secrét. : Thomas Le Chatelier,http://www.amicale504.com,lva-auto
AMICALE ABARTH,51210 Corrobert - France,06 09 55 47 95,,Pdt : A. Sassénus ; Vice-Pdt : J.-J. de Galkowski ; Pdt d'honneur : Mme Abarth ; Trés. : N. Larose ; Conseiller tech. : D. Fortin ; Com. sportif : Y. Vesco,,lva-auto
AMICALE ALPINE RENAULT DU CHER - AARC,18000 Bourges - France,07 71 05 20 79,aarc18000@orange.fr,Pdt : Jack Defaix,http://aarc.e-monsite.com,lva-auto
AMICALE ALSACIENNE DE VOITURES D'ÉPOQUE - AAVE,67520 Kuttolsheim - France,06 13 98 59 12,a.a.v.e@orange.fr,Pdt : Pascal Ecki ; Vice-Pdts : Jean-Jacques Knipper et Alexandre Mittel ; Trés. : Patrick Rihn ; Secrét. : Pascale Jacob,http://www.aave-strasbourg.fr,lva-auto
AMICALE ANCIENNES AUTOS ET MOTOS DES DEUX-SÈVRES - 3AM79,79370 Celles-sur-Belle - France,06 65 27 52 84,club3am79@gmail.com,Pdt : Ãric Guérin ; Trés. : Catherine Remande ; Secrét. : Nicolas Moinard,,lva-auto
AMICALE ANDRÉ CITROËN DU SUD-OUEST - AACSO,65000 Tarbes - France,06 16 90 78 66,,Pdt : Marc Leborne ; Trés. : Patrick Ducournau ; Secrét. : Jean Robert,http://aacso.canalblog.com/,lva-auto
AMICALE ANGEVINE DES AMOUREUX DES AUTOMOBILES ANCIENNES - 5A,49124 Saint-Barthélemy-d'Anjou - France,,club.lecinqa@free.fr,Pdte : Véronique Frayard ; Secrét. : Antoine Ramond ; Trés. : Lucien CHEVREUL,,lva-auto
AMICALE ANGLO-CABRIO-RENNAIS - AACR,35580 Baulon - France,06 38 41 69 89,contact@aacr.fr,Pdt : Yvon Rézé ; Trés. : Daniel Noyalet ; Secrét. : Jean-François le Febvrier ; Coordination sorties : Irène Noyalet,http://www.aacr.fr,lva-auto
AMICALE AUTO RÉTRO 33,33460 Cantenac - France,05 57 88 91 11,william.many@wanadoo.fr,Pdt : William Many ; Vice-Pdt : Serge Antonello ; Trés. : Guy Poirier ; Trés. adj. : Pierre Gouygoux,,lva-auto
AMICALE AUTOMOBILE RISLOISE,27290 Appeville-Annebault - France,06 75 27 20 80,didier.lecesne@orange.fr,Pdt : Didier Lecesne ; Vice-Pdt : Richard Delaporte ; Trés. : Joël Plaisant ; Secrét. : Thierrry Stacul,,lva-auto
AMICALE AX CLUB FRANCE,91410 Richarville - France,06 34 47 03 15,amicaleaxclubfrance@gmail.com,Pdt : Cyrille Vallot,http://www.amicaleaxclubdefrance.fr,lva-auto
AMICALE BELLES ET BIELLES DE NORMANDIE,14320 May-sur-Orne - France,06 85 79 95 13,contact@bellesetbielles.fr,Pdt : Bruno Ziegler ; Vice-Pdt : Dominique Delbouille ; Secrét. et Trés. : Nadine Bazire,http://www.bellesetbielles.fr,lva-auto
