id,nom,adresse,telephone,email,bureau,site_internet,lien
C2640,ALFA ROMEO - PARFUM DE TRÈFLE,22370 Pléneuf-Val-André - France,06 80 63 94 83,jean.yves.alfa@orange.fr,Pdt : Jean-Yves Barbier ; Trés. : Gildas Lenaour ; Secrét. : Guillaume Fesquet,http://www.parfumdetrefle.ovh,https://www.lva-auto.fr/annuaire.detail.php?id=C2640&idCategorie=C
C2615,ALFA ROMEO CLUB HAUTS-DE-FRANCE,59262 Sainghin-en-Mélantois - France,06 07 75 40 39,alfaromeoclub.hdf@gmail.com,"Pdt : Jérémy Vasseur ; Vice-Pdt : Maxime Tourbier ; Trés. : François Riff ; Secrét. : Philippe Herreman ; Secrét. adj. : Colette Rose ; Membres du bureau : Fabrice Charrondière, Alexandre Van Landuyt",,https://www.lva-auto.fr/annuaire.detail.php?id=C2615&idCategorie=C
C944,ALFA-CLUB DU SUD-OUEST,24600 Ribérac - France,06 07 08 35 93,alfaclubsudouest@alfacso.com,Pdt : Jany Dexant ; Trés. : Thérèse Neyras ; Secrét. : Henry Courreges,http://www.alfacso.com,https://www.lva-auto.fr/annuaire.detail.php?id=C944&idCategorie=C
C22,ALPINE + GORDINI 03,03310 Néris-les-Bains - France,04 70 03 23 00,michael-dacosta@wanadoo.fr,Pdt : José Da Costa ; Trés. : Patrice Dias ; Secrét. : Annie Da Costa,http://alpinegordini03.free.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C22&idCategorie=C
C24,ALPINE BRETAGNE CLUB - ABC,44310 Saint-Lumine-de-Coutais - France,06 66 26 97 09,contact@alpine-bretagne.com,Pdt : Charles Guilbeau ; Trés. : Isabelle Biret ; Secrét. : Charles Guilbeau,http://www.alpine-bretagne.com,https://www.lva-auto.fr/annuaire.detail.php?id=C24&idCategorie=C
C25,ALPINE CLUB MÉDITERRANÉE,83136 Rocbaron - France,06 16 01 16 86,alpine.club.med@free.fr,Pdt : Alexandre Macinato ; Vice-Pdts : Guy Le Fevre et Philippe Causse ; Trés. : Hervé Vandeneulebroucke ; Secrét. : Gilbert Montoliu,,https://www.lva-auto.fr/annuaire.detail.php?id=C25&idCategorie=C
C1410,ALPINE CLUB PACA,06800 Cagnes-sur-Mer - France,04 93 73 29 62,alpinepaca@sfr.fr,,,https://www.lva-auto.fr/annuaire.detail.php?id=C1410&idCategorie=C
C2013,ALPINE ET RENAULT ANCIENNES DRÔME ARDÊCHE - ARADA,26120 Montélier - France,06 19 16 45 65,arada.alpine.renault@gmail.com,Pdt : Alain Dufour ; Trés. : Georges Ravel ; Secrét. : Eric Gauthier,http://www.club-arada.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2013&idCategorie=C
C2490,ALPINE ET RENAULT SPORT DU HAUT MCONNAIS,71260 Azé - France,06 86 63 07 00,contact@arshm.fr,Pdt : Yves Corneloup ; Trés. : Gérard Janaud ; Secrét. : Claudette Monnet,http://www.arshm.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2490&idCategorie=C
C23,ALPINE GORDINI CLUB DE LA VIENNE,86370 Marçay - France,06 77 84 23 14,contact@agc86.fr,Pdt : Sylvain Quillet ; Vice-Pdt : Roger Cleuzet ; Trés. : Julien Vignault ; Secrét. : Loïc Marchelidon,http://www.agc86.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C23&idCategorie=C
C27,ALPINE GORDINI CLUB VALLÉE DE LA BRUCHE - AGCVB,67420 Saales - France,06 10 90 24 60,agcvb@orange.fr,Pdt : Jean-Marc Fluck ; Vice-Pdt : Noël Pascal ; Trés. : Dimitri Fluck ; Secrét. : Nadine Guillot,http://www.agcvb.franceserv.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C27&idCategorie=C
C273,ALPINE GRAND OUEST,44600 Saint-Nazaire - France,06 68 01 04 37,,Pdt : Philippe Andrieux ; Vice-pdt : Christophe Legac ; Trés. : Jean-Claude Marie ; Trés. adj. : Yves-Marie Leroux ; Secrét. : Pascal Redois ; Secrét. adj. : Philippe Martinho,,https://www.lva-auto.fr/annuaire.detail.php?id=C273&idCategorie=C
C28,ALPINE VENTOUX CLUB,84200 Carpentras - France,06 98 96 96 15,alpine-ventoux@free.fr,Pdt : Lionel Lichière ; Trés. : Pierre-H Mourges ; Secrét. : Alain Boyac,http://www.alpine.ventoux.free.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C28&idCategorie=C
C2590,AMA AUTOS MOTOS ANTIQUES DE L'ENCLAVE DES PAPES,84600 Grillon - France,06 22 47 16 73,sophiehulard@gmx.fr,Pdte : Sophie Hulard ; Vice-Pdt : René Acien ; Trés. : Michel Soulier,,https://www.lva-auto.fr/annuaire.detail.php?id=C2590&idCategorie=C
C1493,AMATEURS AUTOMOBILES ANCIENNES ÉCURIE LIMAGNE,63570 Bansat - France,04 73 96 24 87,didarme@free.fr,Pdte : Armelle Rannou-Bériot ; Secrét. : Christine Blanchet,,https://www.lva-auto.fr/annuaire.detail.php?id=C1493&idCategorie=C
C735,AMATEURS CLUB CG,08250 Grandpré - France,06 29 02 42 98,amateurclubcg@orange.fr,Pdt : Cyril Grosselin ; Trés. : Christiane Grosselin ; Secrét. : Muriel Beauquenne,http://amateursclubcg.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C735&idCategorie=C
C1217,AMATEURS D'UTILITAIRES DE LA VALLÉE DE LA LOIRE,37120 Richelieu - France,06 87 39 29 06,auvl.richelieu@gmail.com,Pdt : Ãtienne Charrais ; Trés. : Benoît Pyrault ; Secrét. : Philippe Piard,,https://www.lva-auto.fr/annuaire.detail.php?id=C1217&idCategorie=C
C31,AMATEURS DAUPHINOIS D'AUTOMOBILES DE COLLECTION - ADAC,38300 Ruy-Montceau - France,06 07 76 55 49,contact@adacnordisere.fr,Pdt : Jean-Paul Jaboulay ; Trés. : Marie-Agnès Saugey ; Secrét. : Jean-Marc Dardard,http://www.adacnordisere.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C31&idCategorie=C
C936,AMATEURS DE CAMIONS ET AUTOCARS ANCIENS - RÉGION EST,67000 Strasbourg - France,06 74 77 05 79,brunmichel@gmail.com,Pdt : Bruno Michel ; Vice-Pdt : Francis Leonhart ; Secrét. : Alain Rusch ; Trés. : Nathalie Strauch,,https://www.lva-auto.fr/annuaire.detail.php?id=C936&idCategorie=C
C193,AMATEURS DE VÉHICULES ANCIENS DU MORBIHAN - AVAM,56260 Larmor-Plage - France,06 74 53 89 02,courant.francoise@wanadoo.fr,Pdte : Françoise Courant,http://www.avam56.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C193&idCategorie=C
C937,AMATEURS DE VÉHICULES ANCIENS DU PONANT - AVAP,29290 Milizac - France,02 98 07 97 83,nonet.stephane@wanadoo.fr,Pdt : Stéphane Nonet ; Trés. : Lucien Inisan ; Secrét. : Philippe Prigent,http://www.avap29.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C937&idCategorie=C
C34,AMATEURS DE VÉHICULES ANCIENS DU ROUSSILLON - AVAR,66000 Perpignan - France,06 09 53 49 26,bacleyvesmarie@gmail.com,"Pdt d'honneur : Georges Billes ; Pdt : Paul Saly ; Trés. : Christian Auriach ; Secrét. : Yves-Marie Bacle ; Administrateurs : René Pietrantuno, Jean-Michel Ferrier, Pascal Roussat, Robert Rigual, Serge Molins, Dominique Bruchet, Philippe Guillemat",http://avar.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C34&idCategorie=C
C35,AMATEURS ET COLLECTIONNEURS D'AUTOMOBILES DE TOURAINE - ACAT,37540 Saint-Cyr-sur-Loire - France,02 47 27 28 80,contact@acat-autos-37.fr,Trés. et Secrét. : Martine Huteau ; Cons. tech. : Jean-Claude Grimault ; Resp. sorties : Patrick Augereau ; Resp. Internet et Comm. : Hervé Boileau,http://www.acat-autos-37.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C35&idCategorie=C
C37,AMATEURS LYONNAIS DE LA BERLINETTE ALPINE - ALBA,38280 Villette-d'Anthon - France,,clubalba110@gmail.com,Pdt : Christian Favier ; Trés. : Patrick Monge ; Secrét. : Fabienne Monge,http://www.alba110.com,https://www.lva-auto.fr/annuaire.detail.php?id=C37&idCategorie=C
C38,AMATEURS MAYENNAIS DE VÉHICULES ANCIENS,53000 Laval - France,06 15 41 13 11,contact@amva53.fr,Pdt : Ãric Paris ; Vice-Pdt : Jean-Yves Hubert ; Trés. : Béatrice Rouaud ; Secrét. : André Bouvier,http://amva53.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C38&idCategorie=C
C39,AMATEURS MONTLUÇONNAIS DE VÉHICULES ANCIENS,03100 Montluçon - France,06 31 12 17 26,phillipe.triboulet@sfr.fr,Pdt : Philippe Triboulet ; Vice-Pdt : Patrick Gillet ; Trés. : Bruno Menu ; Trés. adj. : Daniel Pascual ; Secrét. : Bernard Sidère ; Secrét. adj. : Pierre Dumas,http://amva.xooit.fr/,https://www.lva-auto.fr/annuaire.detail.php?id=C39&idCategorie=C
C40,AMATEURS QUERCYNOIS DE VÉHICULES ANCIENS,46230 Laburgade - France,06 75 38 12 18,patrick-gazaud@orange.fr,Pdt : Patrick Gazaud ; Trés. : Paul Sarrut ; Secrét. : Alain Parazines,http://aqva.info,https://www.lva-auto.fr/annuaire.detail.php?id=C40&idCategorie=C
C2558,AMÉRICAINES CLUB MONTLUÇONNAIS,03100 Montluçon - France,06 63 63 75 22,americainesclubmontlucon@outlook.com,Pdt : Dominique Moal,,https://www.lva-auto.fr/annuaire.detail.php?id=C2558&idCategorie=C
C2533,AMERICAN BREIZH CAR,29600 Plourin-lès-Morlaix - France,06 71 00 37 06,contact@americanbreizhcar.com,Pdt : Yvon Le Saout ; Trés. : Patrice Hilliard ; Secrét. : Christophe Moal,http://americanbreizhcar.com,https://www.lva-auto.fr/annuaire.detail.php?id=C2533&idCategorie=C
C43,AMERICAN CAR CLUB DE FRANCE,14280 Authie - France,07 82 69 37 05,contact@accf.com,Pdt : Michel Wurtz,http://www.accf.com,https://www.lva-auto.fr/annuaire.detail.php?id=C43&idCategorie=C
C1353,AMERICAN CAR LEGEND DU LIMOUSIN,87200 Saint-Junien - France,05 55 02 72 15,anniejacky33@orange.fr,Pdt : Jacky Léger ; Vice-Pdt : Carlos Henriques ; Secrét. : Aline Henriques ; Trés. : Annie Dumet-Léger,,https://www.lva-auto.fr/annuaire.detail.php?id=C1353&idCategorie=C
C2444,AMERICAN CARS CLUB D'ARMOR - ACCA,22000 Saint-Brieuc - France,06 13 05 52 42,fportzer@gmail.com,Pdt : François Portzer ; Secrét. : Sébastien Robreau ; Trés. : Christian Nicolas,http://www.acca-club.fr,https://www.lva-auto.fr/annuaire.detail.php?id=C2444&idCategorie=C
